Name,Level,Max. price,Time,XP,Needs,Source,Per boat crate
Wheat,1,3,2 min,1,Wheat (1),Field (1st crop),50-101
Egg,1,18,20 min,2,Chicken feed (1),Chicken (1st animal product),15-24
Corn,2,7,5 min,1,Corn (1),Field (2nd crop),50-87
Bread,2,21,5 min★★★ 4 min,3,Wheat (3),Bakery,14-26
Chicken feed,3,7,5 min★★★ 4 min,1,"Corn (1)
Wheat (2)",Feed Mill,N/A
Soybean,5,10,20 min,2,Soybean (1),Field (3rd crop),24-48
Cow feed,6,14,10 min★★★ 8 min,2,"Corn (1)
Soybean (2)",Feed Mill,N/A
Milk,6,32,1 h,3,Cow feed (1),Cow (2nd animal product),8-16
Cream,6,50,20 min★★★ 17 min,6,Milk (1),Dairy,8-12
Sugarcane,7,14,30 min,3,Sugarcane (1),Field (4th crop),14-31
Corn bread,7,72,30 min★★★ 25 min,8,"Corn (2)
Egg (2)",Bakery,4-8
Brown sugar,7,32,20 min★★★ 17 min,4,Sugarcane (1),Sugar Mill,8-13
Popcorn,8,32,30 min★★★ 25 min,4,Corn (2),Popcorn Pot,10-19
Carrot,9,7,10 min,2,Carrot (1),Field (5th crop),30-49
Butter,9,82,30 min★★★ 25 min,10,Milk (2),Dairy,4-7
Pancake,9,108,30 min★★★ 25 min,13,"Brown sugar (1)
Egg (3)",BBQ Grill,3-4
Pig feed,10,14,20 min★★★ 17 min,2,"Carrot (2)
Soybean (1)",Feed Mill,N/A
Bacon,10,50,4 h,5,Pig feed (1),Pig (3rd animal product),4-9
Cookie,10,104,1 h★★★ 51 min,13,"Brown sugar (1)
Egg (2)Wheat (2)",Bakery,2-5
Bacon and eggs,11,201,1 h★★★ 51 min,24,"Bacon (2)
Egg (4)",BBQ Grill,2-4
Cheese,12,122,1 h★★★ 51 min,15,Milk (3),Dairy,3-5
Indigo,13,25,2 h,5,Indigo (1),Field (6th crop),8-19
White sugar,13,50,40 min★★★ 34 min,6,Sugarcane (2),Sugar Mill,4-13
Carrot pie,14,82,1 h★★★ 51 min,10,Carrot (3)Egg (1)Wheat (2),Pie Oven,4-7
Pumpkin,15,32,3 h,6,Pumpkin (1),Field (7th crop),9-16
Pumpkin pie,15,158,2 h★★★ 1 h 42 min,19,"Egg (1)
Pumpkin (3)Wheat (2)",Pie Oven,3-4
Apple,15,39,16 h,7,N/A,Apple tree (8th crop),8-14
Sheep feed,16,14,30 min★★★ 25 min,3,"Soybean (1)
Wheat (3)",Feed Mill,N/A
Wool,16,54,6 h,5,Sheep feed (1),Sheep (4th animal product),5-9
Buttered popcorn,16,126,1 h★★★ 51 min,15,"Butter (1)
Corn (2)",Popcorn Pot,2-5
Sweater,17,151,2 h★★★ 1 h 42 min,18,Wool (2),Loom,3-4
Cotton,18,28,2 h 30 min,6,Cotton (1),Field (9th crop),10-16
Bacon pie,18,219,3 h★★★ 2 h 33 min,26,"Bacon (3)
Egg (1)Wheat (2)",Pie Oven,1-3
Syrup,18,90,1 h 30 min★★★ 1 h 16 min,11,Sugarcane (4),Sugar Mill,2-4
Cotton fabric,18,108,30 min★★★ 25 min,13,Cotton (3),Loom,3-5
Hamburger,18,180,2 h★★★ 1 h 42 min,22,"Bacon (2)
Bread (2)",BBQ Grill,2-3
Raspberry,19,46,18 h,9,N/A,Raspberry bush (10th crop),6-11
Raspberry muffin,19,140,45 min★★★ 38 min,17,"Egg (1)
Raspberry (2)Wheat (2)",Bakery,2-4
Blue woolly hat,19,111,1 h★★★ 51 min,13,"Indigo (1)
Wool (1)",Loom,3-5
Cotton shirt,19,241,45 min★★★ 38 min,29,Cotton fabric (2),Sewing Machine,2-3
Blue sweater,20,208,3 h★★★ 2 h 33 min,25,"Indigo (2)
Wool (2)",Loom,2-3
Carrot cake,21,165,1 h 30 min★★★ 1 h 16 min,20,"Brown sugar (1)
Butter (1)Carrot (2)",Cake Oven,2-3
Wooly chaps,21,309,1 h 30 min★★★ 1 h 16 min,37,"Cotton fabric (1)
Wool (3)",Sewing Machine,1-2
Cherry,22,68,1 d 3 h,13,N/A,Cherry tree (11th crop),4-7
Cream cake,23,219,3 h★★★ 2 h 33 min,26,"Cream (1)
White sugar (1)Wheat (5)",Cake Oven,2-3
Red berry cake,23,255,1 h★★★ 51 min,31,"Cherry (2)
Egg (1)Milk (1)Raspberry (1)",Cake Oven,2-3
Cheesecake,24,284,4 h★★★ 3 h 24 min,34,Cheese (1)Cookie (1),Cake Oven,2
Silver ore,24,18,Instant,5,Supplies,Mine,N/A
Gold ore,24,21,Instant,6,Supplies,Mine,N/A
Platinum ore,24,32,Instant,7,Supplies,Mine,N/A
Silver bar,24,147,8 h★★★ 6 h 48 min,18,Silver ore (3),Smelter,N/A
Chili pepper,25,36,4 h,7,Chili pepper (1),Field (12th crop),3-5
Chili popcorn,25,122,2 h★★★ 1 h 42 min,15,"Chili pepper (2)
Corn (2)",Popcorn Pot,3-5
Gold bar,25,180,12 h★★★ 10 h 12 min,21,Gold ore (3),Smelter,N/A
Platinum bar,25,205,16 h★★★ 13 h 36 min,24,Platinum ore (3),Smelter,N/A
Violet dress,25,327,2 h 15 min★★★ 1 h 54 min,39,"Cotton fabric (2)
Indigo (1)Raspberry (1)",Sewing Machine,1-2
Blackberry,26,82,1 d 8 h,16,N/A,Blackberry bush (13th crop),4-6
Blackberry muffin,26,226,45 min★★★ 38 min,27,"Blackberry (2)
Egg (2)Wheat (1)",Bakery,2-3
Carrot juice,26,46,30 min★★★ 25 min,6,Carrot (3),Juice Press,6-11
Red lure,27,0,1 h 30 min★★★ 1 h 16 min,1,N/A,Lure Workbench,N/A
Green lure,27,0,1 h 15 min★★★ 1 h 3 min,2,Green voucher (1),Lure Workbench (2),N/A
Blue lure,27,0,1 h★★★ 51 min,3,Blue voucher (1),Lure Workbench (3),N/A
Purple lure,27,0,45 min★★★ 38 min,4,Purple voucher (1),Lure Workbench (4),N/A
Gold lure,27,0,30 min★★★ 25 min,5,Gold voucher (1),Lure Workbench (5),N/A
Fish fillet,27,54,Instant or 20 h,4-20,"Lure (1)
or Fishing net (1)Fishing spot (any available)",Fish (5th animal product),6-9
Fish burger,27,226,2 h★★★ 1 h 42 min,27,Bread (2)Chili pepper (1)Fish fillet (2),BBQ Grill,2-3
Apple pie,28,270,2 h 30 min★★★ 2 h 7 min,32,"Apple (3)
Egg (1)Syrup (1)Wheat (2)",Pie Oven,1-2
Fish pie,28,226,2 h★★★ 1 h 42 min,27,Egg (1)Fish fillet (3)Wheat (2),Pie Oven,2-3
Apple juice,28,129,2 h★★★ 1 h 42 min,15,Apple (2),Juice Press,3-7
Vanilla ice cream,29,172,2 h★★★ 1 h 42 min,20,Cream (1)Milk (1)White sugar (1),Ice Cream Maker,2-3
Tomato,30,43,6 h,8,Tomato (1),Field (14th crop),6-12
Roasted tomatoes,30,118,1 h 30 min★★★ 1 h 16 min,14,Tomato (2),BBQ Grill,3-5
Cherry juice,30,216,2 h 30 min★★★ 2 h 7 min,26,Cherry (2),Juice Press,2-3
Fishing net,30,0,4 h★★★ 3 h 24 min,7,N/A,Net Maker,N/A
